Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примеры,Примечания,Синонимы
,,,BBB030,Монтажно-заготовительная мастерская,"Помещение, оснащенное необходимыми инструментами и механизмами, позволяющими производить заготовку конструкции, узлов, блоков и укрупненную сборку монтажных изделий заводского изготовления; обеспечивающий потребность в материалах, изделиях, конструкциях, машинах и механизмах",РМ 4-239-91,,,"BHB.06
BHA.08",,,
,,,BBB040,Кузница,"Помещение, в котором производится ручная обработка металла, как правило, ковкой",,,,BHA.37,,Определение синтезировано,
,,,BBB050,Лакокрасочный цех,"Помещение, в котором осуществляется производство лакокрасочной продукции",,,,,,Определение синтезировано,
B,BB,,BBB060,Помещение для работы с медицинскими материалами,"Помещение, в котором осуществляется производство и применение медицинских материалов.",Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,"ПЗ 33 31 17
ПЗ 33 32 01
ПЗ 33 32 02
ПЗ 33 32 03
ПЗ 33 32 04
ПЗ 33 32 05
ПЗ 33 32 06
ПЗ 33 32 08
ПЗ 33 31 11",,,Определение синтезировано,
,,BBC,,Машинный цех,"Помещение, в котором устанавливается определенный тип машин и относящееся к ним вспомогательное оборудование",Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,,
,,,BBC010,Цех металлообработки,"Помещение, в котором производится работа с металлом, создаются отдельные металлические узлы или целые конструкции",,,,,Цех обработки листового металла,Определение синтезировано,
,,BBD,,Помещение для работы в сфере искусства и ремесел,"Помещение, предназначенное для работы в сфере искусства и ремесел",,,,,,Определение синтезировано,
,,,BBD010,Гончарная мастерская,"Помещение, предназначенное для гончарного производства",СП 35-116-2006,,,,,Определение синтезировано,
,,,BBD020,Стеклодувная мастерская,"Помещение, в котором изготавливают изделия и детали из стекла выдуванием",,,,,,Определение синтезировано,
,,,BBD030,Реставрационная мастерская,Помещение для проведения реставрации музейных предметов (реставрационных работ),ГОСТ Р 58814-2020,,,,,,
,,,BBD040,Швейная мастерская,"Помещение, в котором оказывают услуги по пошиву и ремонту одежды",СП 146.13330.2012,,НД 05 01 24,,Швейно-вязальная мастерская ,Определение синтезировано,Ремонт одежды
,,,BBD050,Художественная мастерская,"Помещение, в котором располагается студия искусств, творчества",,,НД 05 01 28,,"Граверная мастерская
Ювелирная мастерская
Багетная мастерская",Определение синтезировано,Ремонт ювелирных изделий
,,BBE,,Пространство для упаковки,Пространство для упаковки сырья и товаров,IEC 81346-2:2019,,,,,Определение синтезировано,
,,,BBE010,Упаковочный отдел,Помещение для упаковки товаров и изделий,IEC 81346-2:2019,,,,,Определение синтезировано,
